2013-03-31 05:33:38.727505; (0.999885669992422, 0.041277460803762316, 2.8259867692323746)rot: [  9.99847471e-01   1.74647032e-02   1.40911912e-04],[-0.01745041  0.99863117  0.04930783],[  7.20427536e-04  -4.93027652e-02   9.98783619e-01]
2013-03-31 05:33:38.811956; (0.9601210234548684, 0.7187057481591269, 2.590243843055269)rot: [ 0.99978094  0.01730616 -0.0117716 ],[-0.01675517  0.99882852  0.04539651],[ 0.01254345 -0.04518933  0.99889969]
2013-03-31 05:33:39.088471; (0.9708565999672101, 0.2631033730052939, 2.6290868655720687)rot: [ 0.9998459  0.0171366 -0.0038093],[-0.01694365  0.99880044  0.04594126],[ 0.004592   -0.04586964  0.99893688]
2013-03-31 05:33:39.133798; (0.000781103870492054, -0.5367110771590867, 2.9749311954856545)rot: [  9.99956126e-01  -4.72536011e-04   9.35532209e-03],[ -1.36322362e-05   9.98652344e-01   5.18988902e-02],[-0.00936724 -0.05189674  0.99860852]
2013-03-31 05:33:39.177509; (0.2842735140054112, -0.4015307618799114, 3.32638110121339)rot: [ 0.99996314  0.00454651  0.00728397],[-0.00496137  0.99830494  0.05798827],[-0.00700798 -0.05802227  0.99829069]
2013-03-31 05:33:39.227567; (-0.18921108931892236, 0.41735670620306575, 3.923392612425463)rot: [ 0.99996802 -0.00279621 -0.00749303],[ 0.00330226  0.99765263  0.06839825],[ 0.00728418 -0.0684208   0.99762996]
2013-03-31 05:33:39.306481; (0.25486135344932687, 0.4082867835042652, 4.034597705687825)rot: [ 0.99996472  0.0049385  -0.00679519],[-0.00444804  0.99750965  0.07038976],[ 0.00712589 -0.07035705  0.99749642]
2013-03-31 05:33:39.377812; (0.32479063896295784, 0.4661863706704641, 4.4697964527036325)rot: [ 0.99995083  0.00628548 -0.00766974],[-0.00566845  0.99693894  0.07797829],[ 0.0081364  -0.07793098  0.99692555]
2013-03-31 05:33:39.427497; (0.4553355013380627, 1.191977113956225, 4.50295474810262)rot: [ 0.99975203  0.00955565 -0.02011363],[-0.0079453   0.99686883  0.07867283],[ 0.02080242 -0.07849352  0.99669756]
2013-03-31 05:33:39.477348; (0.09611577843954404, 1.0222005463388928, 5.8100425261996325)rot: [ 0.99983945  0.00347485 -0.01757833],[-0.00167727  0.99485855  0.1012603 ],[ 0.01783982 -0.10121456  0.99470466]
2013-03-31 05:33:39.527635; (0.5323985250382282, 1.244920061963622, 3.9798465121730997)rot: [ 0.9997208   0.01077742 -0.021028  ],[-0.00928978  0.99753145  0.06960398],[ 0.02172624 -0.0693892   0.99735305]
2013-03-31 05:33:39.594319; (0.18610387125150682, 0.8749531994803286, 3.771100805322804)rot: [ 0.99987813  0.00424541 -0.01502345],[-0.00324774  0.99782624  0.06581976],[ 0.01527022 -0.06576295  0.99771842]
2013-03-31 05:33:39.677616; (0.2529037367128466, 1.4184951236675345, 3.888181774880591)rot: [ 0.99968381  0.00608243 -0.02439835],[-0.00441264  0.99768116  0.06791786],[ 0.02475488 -0.06778872  0.99739254]
2013-03-31 05:33:39.727550; (-0.1137523255121146, 1.617208228509344, 3.2673875035223103)rot: [  9.99599714e-01  -3.73600566e-04  -2.82890848e-02],[ 0.00198456  0.99837565  0.05693971],[ 0.02822186 -0.05697306  0.99797675]
