2013-04-09 21:32:37.483091;Lost fix2013-04-09 21:33:02.516993;We're locked at: 4530.443,7334.234
2013-04-09 21:33:44.515726;Lost fix2013-04-09 21:33:48.534922;We're locked at: 4530.4348,7334.3037
2013-04-09 21:34:15.558106;Lost fix2013-04-09 21:34:28.533177;We're locked at: 4530.4328,7334.2707
2013-04-09 21:34:47.481752;Lost fix2013-04-09 21:35:06.517138;We're locked at: 4530.4479,7334.2273
2013-04-09 21:35:51.511215;Lost fix2013-04-09 21:35:58.532899;We're locked at: 4530.4426,7334.2466
2013-04-09 21:36:38.516312;Lost fix2013-04-09 21:36:44.516683;We're locked at: 4530.4521,7334.2169
2013-04-09 21:37:12.525073;Lost fix2013-04-09 21:37:13.544981;We're locked at: 4530.4441,7334.2312
2013-04-09 21:38:13.510991;Lost fix2013-04-09 21:38:20.494860;We're locked at: 4530.4503,7334.2381
2013-04-09 21:38:45.552094;Lost fix2013-04-09 21:38:48.493767;We're locked at: 4530.459,7334.2047
2013-04-09 21:38:56.501216;Lost fix2013-04-09 21:38:59.517128;We're locked at: 4530.4611,7334.1969
2013-04-09 21:39:27.562396;Lost fix2013-04-09 21:39:29.529226;We're locked at: 4530.4615,7334.1985
2013-04-09 21:39:39.536895;Lost fix2013-04-09 21:39:43.517260;We're locked at: 4530.375,7334.5747
2013-04-09 21:50:17.511010;Lost fix2013-04-09 21:50:40.524413;We're locked at: 4530.3792,7334.5671
2013-04-09 21:51:51.537096;Lost fix2013-04-09 21:52:01.534811;We're locked at: 4530.4162,7334.5649
2013-04-09 21:52:11.511357;Lost fix2013-04-09 21:52:24.517333;We're locked at: 4530.3822,7334.5741
2013-04-09 21:52:25.552350;Lost fix2013-04-09 21:52:26.517117;We're locked at: 4530.3709,7334.5814
2013-04-09 21:52:32.510990;Lost fix2013-04-09 21:52:43.516984;We're locked at: 4530.3516,7334.5777
2013-04-09 21:58:19.514856;Lost fix2013-04-09 22:10:32.516480;We're locked at: 4530.3719,7334.5648
2013-04-09 22:37:09.604846;Lost fix2013-04-09 22:37:43.531172;We're locked at: 4530.4001,7334.5719
2013-04-09 22:44:55.552387;Lost fix2013-04-09 22:45:57.532823;We're locked at: 4530.3826,7334.5759
2013-04-09 22:46:04.554077;Lost fix2013-04-09 22:47:03.583233;We're locked at: 4530.3743,7334.5276
2013-04-09 22:47:09.566946;Lost fix2013-04-09 22:47:12.550155;We're locked at: 4530.368,7334.5997
2013-04-09 22:47:20.562087;Lost fix2013-04-09 22:47:21.549910;We're locked at: 4530.3738,7334.5338
